31,k10010976051000,2017-05-12,気仙沼港に今年初めてかつおを取った船が入る,１０日の朝、宮城県の気仙沼港に約８ｔのかつおを取った青森県の船が入ってきました。今年はいつもの年より２週間ぐらい早くかつおの漁が始まりました。港では、かつおを同じぐらいの大きさや重さに分けていました。かつおを取ってきた船の人は「今日のかつおは脂がたくさんあっておいしいです。皆さんにいっぱい食べてもらいたいです」と話していました。気仙沼港は２０１１年の東日本大震災のとき、津波で大きな被害がありましたが、３か月で直しました。そして去年、２０年続けて日本でいちばんたくさん生のかつおが集まった港になりました。,https://www3.nhk.or.jp/news/html/20170510/k10010976051000.html
32,k10010976971000,2017-05-12,国が出す北朝鮮のミサイルの情報が届かない携帯電話がある,国は、北朝鮮のミサイルが日本に飛んでくる可能性がある場合「Ｊアラート」というシステムで、みんなにすぐに危険を知らせることにしています。スマートフォンや携帯電話にも「緊急速報メール」で知らせます。しかし、最近人気がある料金が安いスマートフォンには、このメールが来ない可能性があることがわかりました。国は、このようなスマートフォンを持っている人は、「Ｊアラート」の情報が届くアプリをスマートフォンに入れるように言っています。古い携帯電話にもこのメールが来ない可能性があります。国は、市や町にメールアドレスを登録して、情報を送ってもらうようにしたほうがいいと言っています。国は、市や町と協力して情報がみんなに届くようにしていく予定です。,https://www3.nhk.or.jp/news/html/20170511/k10010976971000.html
33,k10010977141000,2017-05-11,北朝鮮が銀行にサイバー攻撃をしてお金を盗んだ可能性,北朝鮮が３０以上の国の銀行のコンピューターにサイバー攻撃をして、お金を盗んだ可能性が高いことがわかりました。コンピューターの安全を守る仕事をしているアメリカやロシアの会社が調べてわかりました。このうち、バングラデシュ中央銀行の事件では、悪いソフトウエアが入ったメールが銀行で働いている人に届きました。このソフトウエアが銀行のコンピューターに入って、８１００万ドルをフィリピンに送りました。お金は、ソフトウエアを送ったグループが受け取ったと考えられています。アメリカの会社によると、このソフトウエアに使われていたコードは、２０１４年に映画会社がサイバー攻撃されたときのコードと同じでした。アメリカのＦＢＩは、２０１４年の事件は北朝鮮が行ったと言っています。専門家は、北朝鮮がサイバー攻撃で核兵器やミサイルをつくるためのお金を集めていると心配しています。,https://www3.nhk.or.jp/news/html/20170511/k10010977141000.html
34,k10010977221000,2017-05-11,トランプ大統領がＦＢＩの長官をやめさせる,アメリカのトランプ大統領は９日、ＦＢＩの長官のコミーさんをやめさせました。そして、やめさせた理由は「いい仕事をしていなかったからです」と言っています。コミーさんは、大統領を選ぶ選挙のときトランプさんを応援していた人たちとロシアに関係があったかどうか調べていました。このため野党の民主党は、トランプ大統領はロシアとの関係を調べさせないために、コミーさんをやめさせたと言っています。与党の共和党の中にも、なぜ今コミーさんをやめさせたのかよくわからないと言う人がいます。アメリカのテレビや新聞は、コミーさんはロシアとの関係を調べるための予算を増やそうとして、やめさせられた可能性があると言っています。トランプ大統領がコミーさんをやめさせたことに反対する人が増えそうです。,https://www3.nhk.or.jp/news/html/20170511/k10010977221000.html
35,k10010976661000,2017-05-11,ラグビーのワールドカップ　試合をするグループが決まる,２０１９年にラグビーのワールドカップが初めて日本であります。北海道から九州まで１２の都市で４８の試合をします。この大会では、まず２０のチームが４つのグループに分かれて試合をします。１１日、どのグループに入るかを決める抽選がありました。日本はグループＡに入って、アイルランドやスコットランドなどと試合をすることになりました。世界のランキングで日本は１１番、アイルランドは４番、スコットランドは５番です。日本のコーチのジェイミー・ジョセフさんは「アイルランドもスコットランドも強いチームです。日本のみなさんが応援に来てくれたら、頑張ることができると思います」と話しています。,https://www3.nhk.or.jp/news/html/20170510/k10010976661000.html
36,k10010975761000,2017-05-11,「家ではリビングルームで勉強する」と答えた子どもが多い,東京大学とベネッセ教育総合研究所は去年、子どもたちが学校や塾以外でどこでよく勉強するか調べました。小学校１年生〜３年生の４９００人の親などと、小学校４年生〜高校３年生の１万１０００人が答えました。その結果「家族と一緒にいるリビングルームなどで勉強する」と答えた小学生は、１年生〜３年生では９０％以上、４年生〜６年生でも８０％以上いました。中学生は７０％〜６０％、高校生は５０％〜４０％でした。最近は、自分の部屋だけではなくてリビングルームも勉強する場所になっていることがわかりました。ベネッセ教育総合研究所は「親と子どもの関係が近くなって、中学生や高校生も親などのそばで勉強することが普通になっています。親なども、そばにいて子どもの勉強についてもっと知りたいと思っているようです」と話しています。,http://www3.nhk.or.jp/news/html/20170510/k10010975761000.html
37,k10010975121000,2017-05-11,東京駅にイスラム教の人が祈るための部屋が来月できる,イスラム教の人が多いインドネシアやマレーシアから、日本へ旅行に来る人が増えています。去年は前の年より３０％ぐらい増えました。このためＪＲ東日本は、イスラム教の人が祈るための部屋を東京駅の中に作ることにしました。６月５日からこの部屋を利用できます。部屋は、２人入ることができる広さで８m²ぐらいです。祈る前に手や足を洗うための水道もあります。ＪＲ東日本の社長は「インドネシアやマレーシアからは、これからもっと大勢の人が来ると思うので、祈る部屋などが必要だと考えました」と話しています。イスラム教の人が祈るための部屋は、羽田空港や成田空港、大阪駅の近くなどにもあります。,http://www3.nhk.or.jp/news/html/20170509/k10010975121000.html
38,k10010975861000,2017-05-10,韓国の新しい大統領はムン・ジェインさん,韓国では、前の大統領のパク・クネさんが大きな会社からお金をもらった疑いなどでやめさせられました。９日、新しい大統領を選ぶ選挙がありました。投票の結果、「共に民主党」という政党のムン・ジェインさんが新しい大統領になりました。ムンさんは「私を選ばなかった人たちのためにも働いて、みんなの大統領になります」と話しました。ソウルでまちの人たちに話を聞くと、５０歳ぐらいの男性は「ムンさんは今までの間違った社会を正しくできる人だと思います」と話しました。「中国やアメリカや日本との関係をよくしてほしいです」とか「若い人が仕事を見つけやすい社会にしてほしいです」と話す人もいました。日本の政府は、北朝鮮に核兵器やミサイルを作ることをやめさせるため、これからも韓国と協力することが大切だと考えています。安倍総理大臣は、新しい大統領のムンさんと早く会って話したいと言っています。,http://www3.nhk.or.jp/news/html/20170510/k10010975861000.html
39,k10010975011000,2017-05-10,気温が高い日が多くなる　熱中症に気をつけて,今年も気温が高い日が多くなってきました。総務省消防庁は熱中症で病院に運ばれた人が何人いるか毎年５月から調べています。今年の５月１日～７日の１週間には、４２２人が熱中症で病院に運ばれました。去年より９人多くなりました。４２２人の中で１人が亡くなって、１３５人が入院しました。病院に運ばれた人の４５％は６５歳以上でした。２７％は０歳〜１７歳の子どもでした。熱中症になった場所は、家の中や庭が３１％、屋根がない駐車場や運動場などが２１％でした。総務省消防庁は「今の季節は、まだ体が暑さに慣れていません。急に気温が上がると熱中症になりやすいので、気をつけてください」と言っています。下のウェブサイトには、熱中症にならないためにどうしたらいいかをやさしい日本語で書いてあります。http://www3.nhk.or.jp/news/easy/k10010922471000/k10010922471000.html,http://www3.nhk.or.jp/news/html/20170509/k10010975011000.html
40,k10010973821000,2017-05-10,福島県　フラダンスの新しいダンサーが練習を始める,福島県いわき市には、フラダンスのショーと温泉で有名なテーマパークがあります。このテーマパークに今年の春、１２人の新しいダンサーが入りました。８日からフラダンスの練習が始まって、１２人は音楽と一緒に、体や足を動かしました。フラダンスの経験がある人が多くて、踊り方は慣れています。しかし、毛糸のひもを使うニュージーランドのダンスは、なかなかうまくできなくて、先生の説明をしっかり聞いていました。いわき市の下田杏南さんは「小さいときからフラダンスのダンサーになりたいと思っていました。一生懸命頑張りたいです」と話していました。阿部真菜美さんは「楽しく踊ることができました。私のふるさとの秋田県の人にも見に来てほしいです」と話していました。１２人は、８月からショーに出ます。,http://www3.nhk.or.jp/news/html/20170508/k10010973821000.html
